,year,month,ET
0,2011,10,
1,2011,11,0.8282311673979764
2,2011,12,0.0
3,2012,1,4.1925799182339105
4,2012,2,0.4205302917226766
5,2012,3,3.4994661916389824
6,2012,4,0.2629557357702382
7,2012,5,0.25876280868780954
8,2012,6,0.07078289247461425
9,2012,7,0.6553175541454783
10,2012,8,0.2992146385562427
11,2012,9,2.644642991281594
12,2012,10,3.8351165645397702
13,2012,11,
14,2012,12,
15,2013,1,0.6659502040101892
16,2013,2,0.011541779456528612
17,2013,3,
18,2013,4,
19,2013,5,0.37806708600451117
20,2013,6,0.41021170799440065
21,2013,7,0.36337649359371577
22,2013,8,0.5498661514113162
23,2013,9,
24,2013,10,1.484008087983221
25,2013,11,1.697998077407743
26,2013,12,1.6078696615412669
27,2014,1,3.835347413404994
28,2014,2,0.6517811395443344
29,2014,3,0.9975947662650322
30,2014,4,0.0
31,2014,5,0.6401267229678734
32,2014,6,0.6431665304193539
33,2014,7,0.5017397409114681
34,2014,8,0.15954281945152915
35,2014,9,1.7481896602750264
36,2014,10,0.8723321336363701
37,2014,11,0.7339223441198164
38,2014,12,4.239567668398811
39,2015,1,1.1213730039791554
40,2015,2,1.4818854439348217
41,2015,3,1.3125931027084041
42,2015,4,1.1047193925904373
43,2015,5,0.3770913304165674
44,2015,6,0.4348530180730445
45,2015,7,0.2802797551992333
46,2015,8,0.8792267846059438
47,2015,9,1.8883486935357547
48,2015,10,1.7403048404595474
49,2015,11,0.022026108489714036
50,2015,12,0.5544806578245646
51,2016,1,3.722509913776323
52,2016,2,1.8448987199034133
53,2016,3,1.0144366922664039
54,2016,4,0.9605360742609031
55,2016,5,0.33341935579199883
56,2016,6,0.2972706523647823
57,2016,7,0.31736739158489435
58,2016,8,0.6124177952888572
59,2016,9,
60,2016,10,0.9300991276629946
61,2016,11,3.4220890867893226
62,2016,12,0.6267090623222901
63,2017,1,1.4547812051920486
64,2017,2,0.5815670921367134
65,2017,3,0.8895825247993919
66,2017,4,0.3298012859856945
67,2017,5,0.36970218803104365
68,2017,6,0.1824147885122703
69,2017,7,
70,2017,8,
71,2017,9,1.0659209786145631
72,2017,10,1.6792845440403583
73,2017,11,2.2895496811046674
74,2017,12,0.014862152565081475
75,2018,1,1.3810691074995893
76,2018,2,3.4994987092873813
77,2018,3,0.6308695536030999
78,2018,4,0.4835971244065422
79,2018,5,0.4098166810198687
80,2018,6,0.32479017670565735
81,2018,7,0.30624523313183105
82,2018,8,0.4186936194155793
83,2018,9,
84,2018,10,0.9738228918712373
85,2018,11,0.15130098832594505
86,2018,12,2.087997074704022
87,2019,1,4.739274702064404
88,2019,2,0.0
89,2019,3,1.4318857916514758
90,2019,4,0.3613886048950286
91,2019,5,
92,2019,6,0.0
93,2019,7,0.39165279677865994
94,2019,8,0.4997971970441773
95,2019,9,1.271218074499868
96,2019,10,1.0494452949705722
97,2019,11,6.205829076095433
98,2019,12,3.5109939332325832
99,2020,1,1.6551590072600735
100,2020,2,0.09283141579262065
101,2020,3,0.35023791244570235
102,2020,4,0.5072573635015051
103,2020,5,0.0
104,2020,6,0.34356732031392007
105,2020,7,0.32460416862709834
106,2020,8,
107,2020,9,0.20923821687499589
108,2020,10,0.47121140846090903
109,2020,11,
110,2020,12,1.207664134018168
111,2021,1,0.44625992707955403
112,2021,2,1.27411316876704
113,2021,3,0.31814689922643624
114,2021,4,0.39753221738783484
115,2021,5,0.34175950957743545
116,2021,6,0.48028373030183186
117,2021,7,
118,2021,8,0.47495956854801386
119,2021,9,
120,2021,10,
121,2021,11,0.9491136938636248
122,2021,12,1.3827237927207219
123,2022,1,0.7933460540753459
124,2022,2,0.5364557773100735
125,2022,3,0.0011887447035017291
126,2022,4,0.1493088144637612
127,2022,5,0.32166306502753456
128,2022,6,0.1442141648011333
129,2022,7,0.21932185369441068
130,2022,8,0.7502447892625899
131,2022,9,0.9601769261136982
132,2022,10,0.25445746993309504
